id,autores,paradigma,algoritmo_quantico,topico,problema,abordagem,ano,hardware,num_cidades,formulacao,contribuicao,escala_testada,qualidade_solucao,tempo_execucao,taxa_sucesso,sensibilidade_parametros,robustez_ruido,metricas_avaliadas,criterios,fonte,ranking
33,Mohanty [100],GBC,QML,Routing,VRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
34,Neukart [104],QA,QA,Routing,Flow opt.,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
35,Osaba [106],QA,QA,Routing,CVRP,Hybrid,2022,Revisao,Nao Reportada,Multiplas,"Revisao que identifica os 3 problemas centrais: formulacoes irrealistas, hardware com ruido e alta sensibilidade a parametrizacao.",Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Alta,Alta,"Formulacao, Hardware, Parametrizacao","C3, C4, C5",Phillipson 2025,45
36,Palackal [108],GBC,QAOA/VQE,Routing,TSP,Hybrid,2023,Simulador,Pequenas instancias,QUBO,VQE supera QAOA ao atingir limiar de energia para solucoes viaveis. QAOA frequentemente falha.,Pequena (<=10),VQE superior a QAOA,Nao reportado,QAOA baixa / VQE moderada,Alta,Simulador apenas,"Limiar de energia, Viabilidade","C4, C5, C6",Phillipson 2025,45
37,Palmieri [109],QA e GBC,QA,Routing,CVRP,Hybrid,2023,D-Wave + Gurobi,Nao especificado,QUBO + DFJ,Subtour elimination com estrategia DFJ. QA e quantum GAMA superam VQE. Reducao de qubits necessarios.,Variavel,QA e GAVA superiores,Nao reportado,Nao reportada,Alta,Nao avaliada,"Qualidade da solucao, Qubits necessarios","C2, C5",Phillipson 2025,25
38,Papalitsas [110],QA,QA,Routing,TSPTW,Full Quantum,2019,Simulador,Nao especificado,QUBO,Primeira formulacao QUBO do TSPTW publicada na literatura.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Pioneirismo na formulacao,Nao Reportada,Phillipson 2025,0
39,Phillipson [113],QA,QA,Routing,Flow opt.,Hybrid,2021,D-Wave,Variavel,QUBO,"Implementacao real em planejamento de conteineres. Aborda: embedding, chain strength e funcoes de penalidade via grid search.",Variavel,Variavel por parametro,Nao reportado,Nao reportada,Alta (grid search),Avaliada,"Chain strength, Embedding, Penalidades","C3, C4, C5",Phillipson 2025,45
40,Poggel [117],Generic,Não especificado,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
41,Qiu [118],GBC,QACO,Routing,TSP,Hybrid,2024,Simulador,Multiplos datasets,Circuito parametrizado,QACO integrado com K-means. Melhoria de desempenho e robustez a ruido vs. versao classica.,Media (10-30),Superior ao ACO classico,Nao reportado,Nao reportada,Nao avaliada,Robusta a ruido,"Desempenho, Robustez","C2, C4",Phillipson 2025,30
42,Ramezani [120],GBC,QAOA,Routing,TSP,Hybrid,2024,Simulador,Nao especificado,QUBO otimizado,Reduz qubits de n2 para n*log2(n). Proposta para demonstrar supremacia quantica na era NISQ.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Reducao de qubits,Nao Reportada,Phillipson 2025,0
43,Rana [121],QA e GBC,QA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
44,Rosendo [125],QA e GBC,QA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
45,Sadashivan [126],QA,QA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
46,Salehi [128],QA,QA,Routing,TSPTW,Full Quantum,2022,D-Wave Advantage,4,"QUBO (3 formulacoes: ILP, edge-based, outro)",Tres formulacoes QUBO diferentes. Modelo ILP supera modelo edge-based em probabilidade de otimo.,Pequena (<=5),ILP superior a edge-based,Nao reportado,Nao reportada,Alta (penalidades),Nao avaliada,"Probabilidade de otimo, Impacto de penalidades","C3, C5",Phillipson 2025,30
47,Sales [129],QA,QA,Routing,CVRP,Full e Hybrid,2023,Amazon Braket / D-Wave,Variavel,QUBO,Algoritmo hibrido supera o QA puro em cenario real de logistica de ultima milha.,Variavel,Superior ao QA puro,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,"Qualidade da solucao, Cenario real","C1, C2, C3",Phillipson 2025,55
48,Salloum [130],QA,QA,Routing,TFO,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
49,Salloum [131],QA,QA,Routing,TFO,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
50,Sanches [132],GBC,RL,Routing,CVRP,Hybrid,2022,IBM Quantum / Simulador,Pequenas instancias,Circuito parametrizado,Circuitos quanticos substituem camadas de atencao em agentes RL para VRP. Prova de conceito.,Pequena,Prova de conceito,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,Viabilidade QRL,Nao Reportada,Phillipson 2025,0
51,Sato [133],GBC,Grover,Routing,TSP,Full Quantum,2024,Simulador,Nao especificado,HOBO,Usa codificacao HOBO para reduzir requisitos de qubit e Grover para preparacao do estado inicial.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Reducao de qubits,Nao Reportada,Phillipson 2025,0
52,Sinno [144],QA,QA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
53,Spyridis [146],GBC,QAOA,Routing,m-TSP,Hybrid,2023,Simulador,Nao especificado,QUBO,Formulacao QUBO para m-TSP. Aplicacao potencial em sistemas IoT.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Viabilidade da formulacao,Nao Reportada,Phillipson 2025,0
54,Srinivasan [147],GBC,QPE,Routing,TSP,Hybrid,2018,IBM Quantum Simulator,4,QPE,Codifica distancias como fases; busca o menor caminho com speedup quadratico sobre forca bruta.,Pequena (<=5),Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,Qualidade da solucao,Nao Reportada,Phillipson 2025,0
55,Tejani [151],GBC,QPE,Routing,BTSP,Hybrid,2024,Simulador,Nao especificado,QPE,Variante do TSP que minimiza a maior aresta da rota em vez da soma total.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Viabilidade,Nao Reportada,Phillipson 2025,0
56,Warren [158],QA,QA,Routing,TSP,Full e Hybrid,2020,D-Wave,Nao especificado,QUBO,Analisa 4 programas para o TSP simetrico incluindo solucoes D-Wave. Referencia comparativa.,Variavel,Comparativa,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,Comparacao de abordagens,Nao Reportada,Phillipson 2025,0
57,Weinberg [159],QA,QA,Routing,CVRP,Hybrid,2023,D-Wave Hybrid Solver,Variavel,QUBO,Fluxo de trabalho hibrido: QA aplicado apenas nos gargalos do pipeline. Uso disciplinado com consciencia de limitacoes.,Variavel,Nao reivindica vantagem,Nao reportado,Nao reportada,Avaliada,Avaliada,"Uso disciplinado, Limitacoes honestas","C2, C4, C5",Phillipson 2025,40
58,Wesolowski [160],GBC,Não especificado,Routing,SPSP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
59,Xie [163],GBC,QAOA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
60,Xu [166],GBC,QML,Routing,CVRP,Hybrid,2023,Simulador NISQ,3-6,Circuito parametrizado,Circuitos parametrizados para aproximar Q-values em CVRP.,Pequena (<=5),Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Viabilidade Q-Learning,Nao Reportada,Phillipson 2025,0
61,Yarkoni [168],QA,QA,Routing,SRP,Hybrid,2021,D-Wave,Variavel,QUBO,Dados reais de rede de hubs europeus. D-Wave preferido sobre gate-based pela capacidade de qubits.,Variavel,Limitada pelo hardware,Nao reportado,Nao reportada,Nao avaliada,Limitada pelo hardware,"Cenario real, Embedding","C3, C4",Phillipson 2025,35
62,Buss [25],GBC,QAOA,Network Design,FLP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
63,Chiscop [33],QA,QA,Network Design,MSLSCP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
64,Choo [34],QA,QA,Network Design,FLP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
65,Ding [44],QA,QA,Network Design,NDP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
66,Ding [43],QA,QA,Network Design,NDP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
67,Dixit [45],QA,QA,Network Design,NDP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
68,Gabbassov [52],QA,QA,Network Design,UTP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
69,Giraldo [54],QA e GBC,QA,Network Design,MCLP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
70,Guo [59],QA,QA,Network Design,FLP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
71,Khumalo [75],GBC,QAOA/VQE,Network Design,FLP,Hybrid,2022,IBM Quantum (dispositivos reais),Pequenas instancias,QUBO,Algoritmos classicos superam os quanticos em taxa de sucesso; VQE melhor que QAOA em qualidade.,Pequena (<=10),Classico superior,Classico superior,Baixa (quantico),Alta,Avaliada em hardware real,"Taxa de sucesso, Viabilidade, Tempo","C4, C5, C6",Phillipson 2025,45
72,Klar [76],QA,QA,Network Design,FLP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
73,Mahasinghe [86],QA,QA,Network Design,FLP,Não especificado,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
74,Malviya [90],QA,QA,Network Design,NDP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
75,Malviya [89],GBC,QAOA,Network Design,NDP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
76,Radvand [119],GBC,Grover,Network Design,CSLP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
77,Sakib [127],QA,QA,Network Design,CSLP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
78,Satori [134],QA,QA,Network Design,LAP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
79,Tosum [153],QA,QA,Network Design,QAP,Não especificado,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
80,Wang [157],GBC,QAOA,Network Design,FLP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
81,Martins [94],QA,QA,Fleet Optimization,TAP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
82,Vikstaal [156],GBC,QAOA,Fleet Optimization,TAP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
83,Willsch [161],QA,QA,Fleet Optimization,TAP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
84,De Andoin [8],QA,QA,Cargo,BPP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
85,De Andoin [9],QA,QA,Cargo,BPP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
86,Ardelean [10],GBC,QML,Cargo,QKP,Hybrid,2023,Simulador,Variavel,QUBO + Genetico,Busca quantica com otimizacao genetica. Fixa qubits como bits classicos.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Viabilidade hibrida,Nao Reportada,Phillipson 2025,0
87,Benson [15],QA,CQM,Cargo,KP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
